index,name,type,num_classes,embedding_size,include,index_start,index_end
0,Demo002_Age,real,1,1,True,0,1
1,Vitl002_HR,real,1,1,True,1,2
2,Vitl003_SysBP,real,1,1,True,2,3
3,Vitl004_MeanBP,real,1,1,True,3,4
4,Vitl005_DiaBP,real,1,1,True,4,5
5,Vitl006_RR,real,1,1,True,5,6
6,Vitl007_SpO2,real,1,1,True,6,7
7,Vitl008_Temp,real,1,1,True,7,8
8,Labs001_K,real,1,1,True,8,9
9,Labs002_Na,real,1,1,True,9,10
10,Labs003_Cl,real,1,1,True,10,11
11,Labs008_Ca,real,1,1,True,11,12
12,Labs009_IonisedCa,real,1,1,True,12,13
13,Labs010_CO2,real,1,1,True,13,14
14,Labs014_Albumin,real,1,1,True,14,15
15,Labs015_Hb,real,1,1,True,15,16
16,Labs021_pH,real,1,1,True,16,17
17,Labs024_BE,real,1,1,True,17,18
18,Labs025_HCO3,real,1,1,True,18,19
19,Vent002_FiO2,real,1,1,True,19,20
20,Labs004_Glucose,real,1,1,True,20,21
21,Labs005_BUN,real,1,1,True,21,22
22,Labs006_Creatinine,real,1,1,True,22,23
23,Labs007_Mg,real,1,1,True,23,24
24,Labs011_SGOT,real,1,1,True,24,25
25,Labs012_SGPT,real,1,1,True,25,26
26,Labs013_TotalBili,real,1,1,True,26,27
27,Labs016_WbcCount,real,1,1,True,27,28
28,Labs017_PlateletsCount,real,1,1,True,28,29
29,Labs022_PaO2,real,1,1,True,29,30
30,Labs023_PaCO2,real,1,1,True,30,31
31,Labs026_Lactate,real,1,1,True,31,32
32,Flud001_InputTotal,real,1,1,True,32,33
33,Flud002_Input4H,real,1,1,True,33,34
34,Flud003_MaxVaso,real,1,1,True,34,35
35,Flud004_OutputTotal,real,1,1,True,35,36
36,Flud005_Output4H,real,1,1,True,36,37
37,Demo001_Gender,bin,2,2,True,37,39
38,Demo003_ReAd,bin,2,2,True,39,41
39,Vent001_Mech,bin,2,2,True,41,43
40,Vitl001_GCS,cat,13,4,True,43,56
41,Vitl007_SpO2,cat,10,4,True,56,66
42,Labs018_PTT,cat,10,4,True,66,76
43,Labs019_PT,cat,10,4,True,76,86
44,Labs020_INR,cat,10,4,True,86,96
